"Locality","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","CityName"
"新北市","2354858",2445129,2514191,2588396,2663683,2727510,2800881,2888326,2970205,3048034,3107278,3162346,3222629,3260731,3305615,3355299,3420535,3459624,3510917,3567896,3610252,3641446,3676533,3708099,3736677,3767095,3798015,3833730,3873653,3897367,3916451,3939305,3954929,3966818,3970644,3979208,3986689,3995717,4018696,"新北市"
"臺北市","2270983",2327641,2388374,2449702,2507620,2575180,2637100,2681857,2702678,2719659,2717992,2696073,2653245,2653578,2632863,2605374,2598493,2639939,2641312,2646474,2633802,2641856,2627138,2622472,2616375,2632242,2629269,2622923,2607428,2618772,2650968,2673226,2686516,2702315,2704810,2695704,2683257,2668572,2645041,"臺北市"
"桃園市","1093621",1129576,1160709,1189752,1211249,1232209,1259503,1288626,1320359,1355175,1385165,1415546,1448186,1483955,1524127,1570456,1614471,1650984,1691292,1732617,1762963,1792603,1822075,1853029,1880316,1911161,1934968,1958686,1978782,2002060,2013305,2030161,2044023,2058328,2105780,2147763,2188017,2220872,2249037,"桃園市"
"臺中市","1651296",1692876,1731182,1775695,1817125,1856587,1898597,1940851,1977649,2019959,2061036,2112465,2167852,2212603,2257950,2303762,2349722,2385367,2421996,2460098,2485968,2508495,2529763,2548332,2566220,2587828,2606794,2624072,2635761,2648419,2664394,2684893,2701661,2719835,2744445,2767239,2787070,2803894,2815261,"臺中市"
"臺南市","1564360",1586378,1605601,1625572,1640669,1649573,1663293,1676909,1691154,1710234,1725402,1741289,1759493,1771997,1788612,1799940,1814062,1822102,1831783,1842337,1848243,1852664,1856461,1860591,1862918,1866727,1870061,1873005,1875406,1873794,1876960,1881645,1883208,1884284,1885541,1886033,1886522,1883831,1880906,"臺南市"
"高雄市","2245517",2286004,2319468,2351328,2379610,2400749,2425942,2457416,2479600,2505986,2528578,2552487,2572147,2595883,2619947,2641749,2663302,2689374,2705857,2725267,2731415,2742905,2746819,2751602,2753486,2760180,2764868,2769054,2770887,2773483,2774470,2778659,2779877,2778992,2778918,2779371,2776912,2773533,2773198,"高雄市"
"宜蘭縣","445472",447105,447707,449833,449981,448418,447467,447643,448430,450943,453765,456857,462509,464359,465043,465120,466603,465627,465004,465186,465799,464107,463285,462286,461586,460426,460398,460902,461625,460486,459061,458595,458456,458777,458117,457538,456607,455221,454178,"宜蘭縣"
"新竹縣","363408",364864,365837,366084,366566,367019,366610,368228,370753,374492,379443,385668,393030,401188,408577,414932,421721,427980,433767,439713,446300,452679,459287,467246,477677,487692,495821,503273,510882,513015,517641,523993,530486,537630,542042,547481,552169,557010,563933,"新竹縣"
"苗栗縣","545608",548184,548790,549973,550343,548187,546004,545978,545937,547609,551016,553557,556188,558191,560128,560099,560344,559858,559804,559703,560640,560766,560903,560643,559944,559986,560163,560397,561744,560968,562010,563976,565554,567132,563912,559189,553807,548863,545459,"苗栗縣"
"彰化縣","1180612",1193345,1203970,1215477,1223209,1226231,1229411,1232492,1237186,1245288,1254228,1264955,1273655,1281296,1288447,1292482,1297744,1301467,1305640,1310531,1313994,1316179,1316443,1316762,1315826,1315034,1314354,1312935,1312467,1307286,1303039,1299868,1296013,1291474,1289072,1287146,1282458,1277824,1272802,"彰化縣"
