"CityName","Locality","CityTownName","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"新北市","板橋區","新北市板橋區","422260",440180,454948,467754,479748,491721,506220,519634,531065,538954,542942,543982,544067,539115,530003,524323,519459,520286,523850,529059,532694,535476,539356,541512,542319,544292,547625,550767,552884,554596,555335,557440,556920,555914,554236,552285,551480,554742,556897
"新北市","三重區","新北市三重區","334726",340581,342980,349927,353957,358812,362171,366819,370957,375996,378397,382003,383943,382880,380099,377498,378502,378671,380084,382266,384051,384217,384618,384092,383959,383636,383621,384722,388304,389968,390421,390090,389813,389325,388447,388581,387484,385826,386336
"新北市","中和區","新北市中和區","279664",294621,304430,315857,324930,334663,343389,355400,365225,374339,379968,383516,387264,387123,386347,383715,385912,388174,392176,398123,401619,403510,406325,408126,408989,411011,410183,412060,414535,414356,414939,416499,415742,415226,414304,414266,413590,412486,413069
"新北市","永和區","新北市永和區","213787",221298,226937,230057,232519,238677,242252,245908,247939,249736,247473,246355,245743,241104,233082,230734,228909,227673,227700,228099,229383,230660,231816,233384,235059,235697,236413,236598,236812,234536,232386,230768,229062,227267,225409,223999,222585,221098,220595
"新北市","新莊區","新北市新莊區","191073",202211,213235,222894,232438,243706,259001,275936,287645,299174,308293,314980,321970,328758,339143,346132,353878,359367,365048,372175,376584,380334,383745,386941,389074,392472,396337,398317,400848,402204,404089,407012,409760,411711,413243,414156,416524,417754,420473
"新北市","新店區","新北市新店區","171315",178173,184126,187637,190579,198125,205094,210942,216757,225517,233277,240558,245897,248822,250559,254078,259166,261024,263603,268290,272500,275467,280661,285186,287472,289366,290590,292693,294602,296411,296581,297637,299017,299730,300267,301168,302089,302231,303445
"新北市","樹林區","新北市樹林區","77378",81452,85496,89389,92414,95557,98757,102883,106951,111993,115581,120115,124857,129220,135322,140110,144566,147071,151260,154158,156159,157913,159101,159930,160762,162476,164723,168689,172300,176077,179788,182012,183407,184167,184249,184400,184149,183946,183926
"新北市","鶯歌區","新北市鶯歌區","48870",51253,53299,56338,58671,60336,61992,63221,64581,65934,67214,68275,69429,69667,70908,72300,74861,76944,78581,80397,81643,82498,82604,83468,84443,85001,85656,86258,86589,86821,87683,88336,88637,89075,87965,87231,86593,86361,86869
"新北市","三峽區","新北市三峽區","52435",53606,54197,55145,55397,55791,56338,57123,58418,59939,61627,62993,64554,66361,69989,73462,76696,78770,80936,82880,84189,85185,85964,86958,88764,91395,95024,97967,100637,103450,105629,107794,110010,111588,112708,114180,114926,115820,116478
"新北市","淡水區","新北市淡水區","66589",68484,70083,71549,72881,74249,76060,78237,80094,82986,85980,88127,91642,94293,97254,101199,105780,108467,111882,116107,119533,121405,123646,126132,128087,129898,132101,135355,140156,143481,146756,150687,155241,158953,162221,165765,169597,173502,178610
"新北市","汐止區","新北市汐止區","67996",72002,73130,75908,77067,79293,81015,85001,90198,93305,97261,102041,108489,112396,118939,127924,141470,147507,154976,161550,165143,167224,170765,173890,176130,178846,180993,183441,186979,189618,190679,192676,194200,195140,196028,197749,199321,200535,203429
"新北市","瑞芳區","新北市瑞芳區","65763",64706,63136,61527,59819,58662,56837,54828,53964,53505,53174,52921,53135,52859,52630,51356,50085,49023,47825,47078,46515,46314,45804,45195,44397,43831,43526,43088,42713,42432,42031,41617,41490,41315,40976,40600,40353,39982,39536
"新北市","土城區","新北市土城區","60398",69484,76565,84555,93477,102973,110796,120282,129424,136928,142348,148111,155814,171629,188170,202436,213169,219793,224897,230208,231938,234125,235729,236202,236345,237000,237443,238230,238897,238477,239156,239717,239258,239270,238703,238500,238067,236901,237696
